"session","session_id","study_id","iteration","created","modified","ended","expired","count_SN17","nombre_P18","sex_P18","educ_P18","pais_P18","vinculo_P18","region_P18","comuna_P18_1","comuna_P18_2","comuna_P18_3","comuna_P18_4","comuna_P18_5","comuna_P18_6","comuna_P18_7","comuna_P18_8","comuna_P18_9","comuna_P18_10","comuna_P18_11","comuna_P18_12","comuna_P18_13","comuna_P18_14","comuna_P18_15","comuna_P18_16","cuidado_P18_esp","count_SN18","nombre_P19","sex_P19","educ_P19","pais_P19","vinculo_P19","region_P19","comuna_P19_1","comuna_P19_2","comuna_P19_3","comuna_P19_4","comuna_P19_5","comuna_P19_6","comuna_P19_7","comuna_P19_8","comuna_P19_9","comuna_P19_10","comuna_P19_11","comuna_P19_12","comuna_P19_13","comuna_P19_14","comuna_P19_15","comuna_P19_16","cuidado_P19_esp","count_SN19","nombre_P20","sex_P20","educ_P20","pais_P20","vinculo_P20","region_P20","comuna_P20_1","comuna_P20_2","comuna_P20_3","comuna_P20_4","comuna_P20_5","comuna_P20_6","comuna_P20_7","comuna_P20_8","comuna_P20_9","comuna_P20_10","comuna_P20_11","comuna_P20_12","comuna_P20_13","comuna_P20_14","comuna_P20_15","comuna_P20_16","cuidado_P20_esp","count_SN","edad_P18","edad_P19","edad_P20","anio_P18","anio_P19","anio_P20","frecuencia_P18","horas_P18","frecuencia_P19","horas_P19","frecuencia_P20","horas_P20","nombre_P17","sex_P17","edad_P17","educ_P17","pais_P17","region_P17","comuna_P17_1","comuna_P17_2","comuna_P17_3","comuna_P17_4","comuna_P17_5","comuna_P17_6","comuna_P17_7","comuna_P17_8","comuna_P17_9","comuna_P17_10","comuna_P17_11","comuna_P17_12","comuna_P17_13","comuna_P17_14","comuna_P17_15","comuna_P17_16","vinculo_P17","vinculo_P17_esp","anio_P17","cuidado_P17","cuidado_P17_esp","frecuencia_P17","horas_P17","vinculo_P18_esp","cuidado_P18","vinculo_P19_esp","cuidado_P19","vinculo_P20_esp","cuidado_P20","count_SN10","nombre_P11","sex_P11","edad_P11","educ_P11","pais_P11","region_P11","comuna_P11_1","comuna_P11_2","comuna_P11_3","comuna_P11_4","comuna_P11_5","comuna_P11_6","comuna_P11_7","comuna_P11_8","comuna_P11_9","comuna_P11_10","comuna_P11_11","comuna_P11_12","comuna_P11_13","comuna_P11_14","comuna_P11_15","comuna_P11_16","vinculo_P11","vinculo_P11_esp","anio_P11","cuidado_P11","cuidado_P11_esp","frecuencia_P11","horas_P11","count_SN11","nombre_P12","sex_P12","edad_P12","educ_P12","pais_P12","region_P12","comuna_P12_1","comuna_P12_2","comuna_P12_3","comuna_P12_4","comuna_P12_5","comuna_P12_6","comuna_P12_7","comuna_P12_8","comuna_P12_9","comuna_P12_10","comuna_P12_11","comuna_P12_12","comuna_P12_13","comuna_P12_14","comuna_P12_15","comuna_P12_16","vinculo_P12","vinculo_P12_esp","anio_P12","cuidado_P12","cuidado_P12_esp","frecuencia_P12","horas_P12","count_SN12","nombre_P13","sex_P13","edad_P13","educ_P13","pais_P13","region_P13","comuna_P13_1","comuna_P13_2","comuna_P13_3","comuna_P13_4","comuna_P13_5","comuna_P13_6","comuna_P13_7","comuna_P13_8","comuna_P13_9","comuna_P13_10","comuna_P13_11","comuna_P13_12","comuna_P13_13","comuna_P13_14","comuna_P13_15","comuna_P13_16","vinculo_P13","vinculo_P13_esp","anio_P13","cuidado_P13","cuidado_P13_esp","frecuencia_P13","horas_P13","count_SN13","nombre_P14","sex_P14","edad_P14","educ_P14","pais_P14","region_P14","comuna_P14_1","comuna_P14_2","comuna_P14_3","comuna_P14_4","comuna_P14_5","comuna_P14_6","comuna_P14_7","comuna_P14_8","comuna_P14_9","comuna_P14_10","comuna_P14_11","comuna_P14_12","comuna_P14_13","comuna_P14_14","comuna_P14_15","comuna_P14_16","vinculo_P14","vinculo_P14_esp","anio_P14","cuidado_P14","cuidado_P14_esp","frecuencia_P14","horas_P14","count_SN14","nombre_P15","sex_P15","edad_P15","educ_P15","pais_P15","region_P15","comuna_P15_1","comuna_P15_2","comuna_P15_3","comuna_P15_4","comuna_P15_5","comuna_P15_6","comuna_P15_7","comuna_P15_8","comuna_P15_9","comuna_P15_10","comuna_P15_11","comuna_P15_12","comuna_P15_13","comuna_P15_14","comuna_P15_15","comuna_P15_16","vinculo_P15","vinculo_P15_esp","anio_P15","cuidado_P15","cuidado_P15_esp","frecuencia_P15","horas_P15","count_SN15","nombre_P16","sex_P16","edad_P16","educ_P16","pais_P16","region_P16","comuna_P16_1","comuna_P16_2","comuna_P16_3","comuna_P16_4","comuna_P16_5","comuna_P16_6","comuna_P16_7","comuna_P16_8","comuna_P16_9","comuna_P16_10","comuna_P16_11","comuna_P16_12","comuna_P16_13","comuna_P16_14","comuna_P16_15","comuna_P16_16","vinculo_P16","vinculo_P16_esp","anio_P16","cuidado_P16","cuidado_P16_esp","frecuencia_P16","horas_P16","count_SN9_1","count_SN16"
"3pNDBOH6j83Sbw-M1Vdjv-0yllKicWmjCksGkCQn3pXpztdVBAQTIWYbF4Bwz2kt","41218482","157886","1","2026-03-05 14:31:58","","2026-03-05 14:32:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGrZQ_VhdB3P-Sr7QS5gPEFgsR-N7GB1URMGuGtpX9MH4Gb3F5zUqmlHJ3DZhuut","41218536","157886","2","2026-03-05 14:51:20","","2026-03-05 14:51:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lSc91xbwAXlSHzX30tXc155afZEBc3ccrxfufGuTIcd7G4PrNI7OzmjOp8v8zE3z","41218551","157886","3","2026-03-05 14:56:03","","2026-03-05 14:56:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNiZX5Jb_wGjX9vyATTp9YTkWbD13dNXEl-FWfM27QPn8sDiBs2fU8ImJaoIF2Gd","41221433","157886","4","2026-03-06 15:28:08","","2026-03-06 15:28:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"_euV9yKWA9VjW10iDw4PTDe5bBIvHtemur0PrGO4uTrRWJn8kB56xbZX8wl9r3bz","41224420","157886","5","2026-03-08 00:29:27","","2026-03-08 00:29:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MlOPkgtBtBVG6s3QWSMbrKKxDl3Qe9yLiX_R89sce_0ZedGpSGN1l7UupBeCHL5","41239703","157886","6","2026-03-11 14:32:54","","2026-03-11 14:33:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t08P0k-tD3fgZvqE52GYoIYPCiZZNgDtTp-AOA3NFtYj6W7XCPSxnySNd9PGpLcA","41248277","157886","7","2026-03-13 19:43:33","","2026-03-13 19:43:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jOgzMLrsndU6Ka1t14jNXVVTIug0SaYLM4w6O1t4MBacNwuweA1rRgPd-qhBS4wi","41248437","157886","8","2026-03-13 20:10:38","","2026-03-13 20:10:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SH7Y_ylpIyeY_pZjJVwwD4ECwcQ-TJm-uJX5fU6NAWKmnc-mw7RDwDr4Wj42M9KJ","41363819","157886","9","2026-04-10 06:45:57","","2026-04-10 06:46:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"determinedFlyXXXmVzqmPMCCxr5fRk-iMayFV9EzYzZFfXbvwaiM1qCsx3Ntv-v","41363863","157886","10","2026-04-10 06:58:57","","2026-04-10 06:59:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
