list_name,name,label
sex_list,1,Hombre
sex_list,2,Mujer
sex_list,3,Otro
sex_list,-888,No sabe
educacion,1,Básica incompleta
educacion,2,Básica completa o media incompleta
educacion,3,Media completa
educacion,4,Técnico o profesional incompleto en Instituto Profesional (IP) o Centro de Educación Técnica (CFT)
educacion,5,Técnico o profesional completo en Instituto Profesional (IP) o Centro de Educación Técnica (CFT)
educacion,6,Universitario incompleto
educacion,7,Universitario completo
educacion,8,Postgrado
educacion,-888,No sabe
pais,1,Chile
pais,2,Argentina
pais,3,Bolivia
pais,4,Haití
pais,5,Perú
pais,6,Venezuela
pais,7,Colombia
pais,8,Otro país latinoamericano
pais,9,Otro país no latinoamericano
pais,-888,No sabe
relacion,1,Padre/madre corresidente
relacion,2,Padre/madre no corresidente
relacion,3,Pareja del padre/madre corresidente
relacion,4,Pareja del padre/madre no corresidente
relacion,5,Hermano/a mayor de edad corresidente
relacion,6,Hermano/a menor de edad corresidente
relacion,7,Hermano/a mayor de edad no corresidente
relacion,8,Hermano/a menor de edad no corresidente
relacion,9,Abuelo/a corresidente
relacion,10,Abuelo/a no corresidente
relacion,11,Otro/a familiar corresidente
relacion,12,Otro/a familiar no corresidente
relacion,13,Vecino/a (no remunerado/a)
relacion,14,Amigo/a de la familia (no remunerado/a)
relacion,15,Persona remunerada en el hogar
relacion,16,Persona remunerada en otra casa
relacion,17,Otro
relacion,-888,No sabe
cuidado,1,"Alimentó, bañó o vistió al niño/a"
cuidado,2,Compartió una comida con el niño/a
cuidado,3,Ayudó con tareas escolares
cuidado,4,"Llevó o recogió al niño/a a actividades (jardín infantil, colegio, médico, actividades deportivas, entre otras actividades)"
cuidado,5,Jugó o compartió tiempo de recreación con el niño/a
cuidado,6,Supervisó al niño/a (estuvo presente) aunque no hizo una actividad específica
cuidado,7,Realizó otra actividad de cuidado
cuidado,-888,No sabe
frecuencia,1,Menos de una vez por semana
frecuencia,2,Una vez por semana
frecuencia,3,Varias veces por semana (2-4 días)
frecuencia,4,Casi todos los días (5-6 días)
frecuencia,5,Todos los días
frecuencia,-888,No sabe
horas,1,Menos de 2 horas
horas,2,Entre 2 y 4 horas
horas,3,Entre 4 y 8 horas
horas,4,Más de 8 horas
horas,-888,No sabe
region,1,Arica y Parinacota
region,2,Tarapacá
region,3,Antofagasta
region,4,Atacama
region,5,Coquimbo
region,6,Valparaíso
region,7,Región Metropolitana de Santiago
region,8,Libertador General Bernardo O’Higgins
region,9,Maule
region,10,Ñuble
region,11,Biobío
region,12,La Araucanía
region,13,Los Ríos
region,14,Los Lagos
region,15,Aysén del General Carlos Ibáñez del Campo
