class,type,name,showif,value,label,optional,,
,note,instruction_socialnetwork_heading,,,## Instrumento de redes sociales en cuidado,,,
,note,instruction_entrevistador,,,Registre el ID asignado al entrevistado/a antes de iniciar el cuestionario.,,,
,text,id_entrevistado,,,ID entrevistado/a,,,
,date,fecha_aplicacion,,,Fecha de aplicación,,,
,submit,inicio_00,,,Iniciar,,,
,note,instruction_socialnetwork,,,"¡Muchas gracias por participar en este estudio! 

Este cuestionario busca conocer qué personas e instituciones participan en el cuidado de su hijo/a. Si tiene más de un hijo/a, por favor considere al/la menor. 

**¿Qué entendemos por cuidado?**

* Cuidado es cualquier acción de acompañamiento, supervisión o atención que alguien realiza hacia el/la niño/a, aunque sea por un tiempo breve.
* Incluye: alimentar, bañar, llevar al jardín, colegio o al médico, jugar, hacer las tareas, cuidarlo/a cuando está enfermo/a, entre otras actividades.
* Puede ser realizado por familiares, amistades, vecinos/as o personas contratadas, y también por instituciones como jardines infantiles, colegios, centros médicos, entre otros.
",,,
,submit,inicio_01,,,Siguiente,,,
,note,instruction_caracterization,,,"A continuación, le haremos algunas preguntas sobre el/la niño/a. Sus respuestas a lo largo de todo el cuestionario deben referirse a él/ella.",,,
mc_vertical answer_below_label,select_one sex_list,sex_nino,,,¿Cuál es el sexo del niño/a?,,,
mc_vertical answer_below_label,text,edad_nino,,,¿Cuál es la edad del niño/a en años cumplidos?,,,
mc_vertical answer_below_label,select_one pais,pais_nino,,,¿En qué país nació el niño/a?,,,
,submit,inicio_02,,,Siguiente,,,
,note,instruction_cuidado,,,"Piense en su círculo completo de familiares, amigos/as, conocidos/as, personas contratadas, entre otros. Considérese también a usted y a su familia nuclear como, por ejemplo, madre o padre del niño/a, su pareja o sus otros hijos/as. Por favor incluya solo personas. Las instituciones, organizaciones y servicios de cuidado (como jardines infantiles, colegios o talleres) las incluiremos más adelante.",,,
,note,note_01,,,"Durante el último mes, ¿quién(es) han participado en el cuidado de su hijo/a aunque haya sido por solo una hora?

* Puede indicar nombres de pila o iniciales
* La primera persona en la lista debe ser usted mismo/a, si participa en el cuidado del niño/a. En ese caso, indique “Yo” en el primer nombre
* El máximo de nombres es 20
",,,
,note,p1,,,**Persona 1**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P01,,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P01,,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P01,,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P01,,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P01,,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P01,,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P01_1,region_P01==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P01_2,region_P01==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P01_3,region_P01==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P01_4,region_P01==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P01_5,region_P01==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P01_6,region_P01==6,,¿En qué comuna reside?,,,
